town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Rijád,9,8,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=682&xokrsek=66,1000066,42.85
Hanoj,6,1,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=704&xokrsek=67,1000067,0.00
Hanoj,9,16,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=704&xokrsek=67,1000067,75.00
Damašek,6,4,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=760&xokrsek=68,1000068,28.57
Damašek,9,3,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=760&xokrsek=68,1000068,57.14
Bangkok,6,14,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=764&xokrsek=69,1000069,2.63
Bangkok,9,102,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=764&xokrsek=69,1000069,76.31
Abú Dhabí,6,15,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=784&xokrsek=70,1000070,9.30
Abú Dhabí,9,56,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=784&xokrsek=70,1000070,51.16
Ankara,6,4,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=792&xokrsek=71,1000071,0.00
Ankara,9,13,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=792&xokrsek=71,1000071,52.63
Istanbul,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=792&xokrsek=72,1000072,6.06
Istanbul,9,39,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=792&xokrsek=72,1000072,54.54
Taškent,6,0,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=860&xokrsek=73,1000073,0.00
Taškent,9,10,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=860&xokrsek=73,1000073,10.00
Kábul,6,37,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=4&xokrsek=74,1000074,41.17
Kábul,9,28,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=4&xokrsek=74,1000074,27.45
Logár,6,154,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=4&xokrsek=75,1000075,44.10
Logár,9,61,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=4&xokrsek=75,1000075,14.41
Baku,6,2,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=31&xokrsek=76,1000076,20.00
Baku,9,8,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=31&xokrsek=76,1000076,70.00
Jerevan,6,2,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=51&xokrsek=77,1000077,42.85
Jerevan,9,4,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AS&xzeme=51&xokrsek=77,1000077,57.14
Buenos Aires,6,5,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=32&xokrsek=78,1000078,11.53
Buenos Aires,9,33,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=32&xokrsek=78,1000078,50.00
Brasília,6,5,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=76&xokrsek=79,1000079,27.27
Brasília,9,9,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=76&xokrsek=79,1000079,54.54
Sao Paulo,6,2,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=76&xokrsek=80,1000080,0.00
Sao Paulo,9,19,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=76&xokrsek=80,1000080,76.92
Ottawa,6,5,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=124&xokrsek=81,1000081,7.81
Ottawa,9,54,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=124&xokrsek=81,1000081,56.25
Toronto,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=AM&xzeme=124&xokrsek=82,1000082,2.66
